Id,SalePrice
1461,101853.81
1462,156279.92
1463,188060.47
1464,182661.81
1465,193267.25
1466,170231.12
1467,158348.75
1468,160105.64
1469,168143.3
1470,107227.54
1471,153312.45
1472,106570.195
1473,97873.695
1474,139409.38
1475,131300.39
1476,326167.6
1477,237756.56
1478,262961.03
1479,264828.94
1480,566851.3
1481,305807.66
1482,195416.97
1483,180748.39
1484,155007.56
1485,170287.8
1486,193462.53
1487,368275.84
1488,192665.66
1489,188402.25
1490,243981.6
1491,185258.1
1492,90051.27
1493,168859.67
1494,247290.66
1495,251332.31
1496,240030.94
1497,179851.53
1498,174426.0
1499,149578.97
1500,139530.28
1501,164084.02
1502,136015.25
1503,270321.72
1504,218062.44
1505,217767.77
1506,174491.06
1507,241567.48
1508,212721.14
1509,153026.28
1510,141050.81
1511,152078.16
1512,158072.94
1513,141169.36
1514,102636.516
1515,198259.0
1516,155357.56
1517,152289.48
1518,123326.36
1519,203591.0
1520,129387.24
1521,125668.0
1522,157467.34
1523,120657.85
1524,126983.21
1525,124175.86
1526,102313.23
1527,103666.07
1528,130835.16
1529,137266.61
1530,194859.42
1531,124160.695
1532,68459.19
1533,140054.62
1534,121270.64
1535,138615.67
1536,108374.125
1537,59825.453
1538,159462.9
1539,189124.84
1540,70574.35
1541,124937.41
1542,141248.69
1543,188356.97
1544,70307.72
1545,100325.61
1546,117834.26
1547,127349.45
1548,110846.12
1549,102832.555
1550,132800.23
1551,89145.53
1552,161884.05
1553,138717.62
1554,126758.16
1555,156971.64
1556,87919.016
1557,96719.69
1558,108090.27
1559,71745.914
1560,108440.92
1561,75898.27
1562,125456.18
1563,107429.69
1564,147323.73
1565,136016.95
1566,244735.95
1567,76488.16
1568,213181.33
1569,133030.69
1570,122340.97
1571,107553.016
1572,130942.39
1573,239002.8
1574,120856.16
1575,275656.25
1576,214858.03
1577,181720.95
1578,135746.1
1579,143855.97
1580,185231.95
1581,156738.28
1582,119362.84
1583,270170.44
1584,207178.08
1585,127399.13
1586,93792.76
1587,97568.016
1588,128541.555
1589,93932.23
1590,116148.88
1591,79571.97
1592,92444.2
1593,115936.85
1594,166347.36
1595,132792.77
1596,213158.16
1597,160086.72
1598,217187.45
1599,161772.45
1600,168466.23
1601,53392.195
1602,118934.13
1603,58285.867
