Date,Return
2019-06-28,0.2846981732683933
2019-07-01,0.5257072038345988
2019-07-02,0.0628223200343777
2019-07-03,0.5257189744707914
2019-07-05,0.04962025331935559
2019-07-08,0.27637818210332843
2019-07-09,0.0066401148851911495
2019-07-10,0.16719236024550596
2019-07-11,0.034728859546294726
2019-07-12,0.1762679499118756
2019-07-15,0.0006044293505735008
2019-07-16,0.14634345119072978
2019-07-17,0.48343034772901927
2019-07-18,0.09987019527712201
2019-07-19,0.4353948511697542
2019-07-22,0.05793698780878599
2019-07-23,0.41290795769602756
2019-07-24,0.1820223501104259
2019-07-25,0.3230861787837823
2019-07-26,0.4852401652001946
2019-07-29,0.04152548955227859
2019-07-30,0.09002117399523707
2019-07-31,1.2785323722593014
2019-08-01,0.8874701513454115
2019-08-02,0.5935851419510559
2019-08-05,9.120104905603679
2019-08-06,1.5864147908145487
2019-08-07,0.0011914845286977505
2019-08-08,3.3637596214032577
2019-08-09,0.4953702386126824
2019-08-12,1.5324692115573326
2019-08-13,2.0564471147402745
2019-08-14,8.829499965444944
2019-08-15,0.04172039877824958
2019-08-16,1.961252508668654
2019-08-19,1.365196984467508
2019-08-20,0.6949681541173087
2019-08-21,0.6123241914218418
2019-08-22,0.008607988287306818
2019-08-23,6.952767344813934
2019-08-26,1.1154224311106373
2019-08-27,0.13139911603641058
2019-08-28,0.37500422218209234
2019-08-29,1.5044330641791945
2019-08-30,0.0004889247598447226
2019-09-03,0.5359457178935806
2019-09-04,1.0858400695899955
2019-09-05,1.5846058439002852
2019-09-06,0.0023903040747701517
2019-09-09,0.002659581853450767
2019-09-10,9.879059725115837e-05
2019-09-11,0.463482771636042
2019-09-12,0.06038797857195494
2019-09-13,0.013134693144441607
2019-09-16,0.12654526999399174
2019-09-17,0.046657929799954825
2019-09-18,6.245532130827935e-05
2019-09-19,0.001614076337777833
2019-09-20,0.2827364992964945
2019-09-23,0.0026898100726537445
