Date,Var
2019-06-28,0.450151521
2019-07-01,0.470908271
2019-07-02,0.428878724
2019-07-03,0.452711849
2019-07-05,0.41583202
2019-07-08,0.418483648
2019-07-09,0.37816786
2019-07-10,0.363379489
2019-07-11,0.334483004
2019-07-12,0.327243399
2019-07-15,0.300679133
2019-07-16,0.301705593
2019-07-17,0.35199183
2019-07-18,0.332516201
2019-07-19,0.371158035
2019-07-22,0.343502796
2019-07-23,0.365905415
2019-07-24,0.354675711
2019-07-25,0.373295641
2019-07-26,0.400636287
2019-07-29,0.36997094
2019-07-30,0.351681149
2019-07-31,0.508269163
2019-08-01,0.584385854
2019-08-02,0.606222665
2019-08-05,1.862852079
2019-08-06,1.805812997
2019-08-07,1.543038483
2019-08-08,1.78561699
2019-08-09,1.604299546
2019-08-12,1.60185043
2019-08-13,1.654202526
2019-08-14,2.712193341
2019-08-15,2.309640242
2019-08-16,2.236154968
2019-08-19,2.094372713
2019-08-20,1.890132592
2019-08-21,1.69316474
2019-08-22,1.448320482
2019-08-23,2.268552482
2019-08-26,2.081088422
2019-08-27,1.795008092
2019-08-28,1.582062833
2019-08-29,1.559992504
2019-08-30,1.336099642
2019-09-03,1.231485206
2019-09-04,1.206931808
2019-09-05,1.25541485
2019-09-06,1.080542289
2019-09-09,0.933756426
2019-09-10,0.809081052
2019-09-11,0.763968686
2019-09-12,0.671627587
2019-09-13,0.589893015
2019-09-16,0.540132266
2019-09-17,0.481221371
2019-09-18,0.426711214
2019-09-19,0.38159612
2019-09-20,0.390010912
2019-09-23,0.352016754
