,gbt_prob_default,lr_prob_default,lgd,loan_amnt
0,0.9909417,0.44577860176096845,0.2,15000
1,0.9839872,0.22344653296155087,0.2,11200
2,0.00080736284,0.2885582569927093,0.2,15000
3,0.0012394182,0.16935752712837682,0.2,10800
4,0.084892206,0.11418197328168647,0.2,3000
5,0.021722063,0.49025688140760926,0.2,7750
6,0.010303962,0.16205745512076197,0.2,10000
7,0.00037458164,0.39621119560426954,0.2,15000
8,0.9766632,0.21742758439789164,0.2,15000
9,0.99200445,0.48143995838813375,0.2,9000
10,0.17321554,0.2433270421040973,0.2,1600
11,0.99718815,0.40454573326378446,0.2,1000
12,0.002652589,0.06366207556021093,0.2,16000
13,0.0016590047,0.2542068181223931,0.2,7300
14,0.99279034,0.4161658294693289,0.2,15000
15,0.0048159515,0.36789954226407595,0.2,4000
16,0.05123977,0.2463689004178124,0.2,16000
17,0.99800485,0.027882436427586126,0.2,7500
18,0.4131082,0.10658890071555566,0.2,5000
19,0.14790156,0.34788828898381086,0.2,10000
20,0.0028719504,0.14652779542449015,0.2,6000
21,0.14340879,0.0628269965302157,0.2,4500
22,0.338585,0.43537695997628684,0.2,23200
23,0.0009180173,0.22968760480789094,0.2,10000
24,0.04225141,0.1487415149696664,0.2,12000
25,0.96613264,0.34179815611180897,0.2,5200
26,0.10905225,0.1294605321689529,0.2,4800
27,0.02663179,0.07095582749699135,0.2,8000
28,0.6669526,0.06964256033862129,0.2,12000
29,0.9913556,0.4433042649346053,0.2,16800
30,0.29254648,0.2604373910954255,0.2,2000
31,0.048540957,0.24004818964989455,0.2,10000
32,0.03702483,0.41969700356922307,0.2,14000
33,0.30034742,0.1996235143067008,0.2,8150
34,0.00030000252,0.4498810846373092,0.2,7200
35,0.0005561013,0.13251933020209153,0.2,6000
36,0.0051134457,0.2482020008905443,0.2,7000
37,0.00088210066,0.47190793696361505,0.2,7125
38,0.01953428,0.23407016286284973,0.2,4000
39,0.12446115,0.23487682250187145,0.2,4800
40,0.38223973,0.5340981140839267,0.2,29700
41,0.0033546407,0.0013677537246206903,0.2,15250
42,0.90563625,0.09945338947724705,0.2,2000
43,0.017364189,0.0350195516746594,0.2,1000
44,0.025439572,0.015362058941032678,0.2,12000
45,0.011189458,0.27879444244031876,0.2,10000
46,0.049652006,0.06478111460833277,0.2,11250
47,0.012726806,0.37386975231887015,0.2,5000
48,0.00018207454,0.2983004044281835,0.2,9000
49,0.008974748,0.3231554660854121,0.2,2500
50,0.0093929535,0.2994137816594888,0.2,9050
51,0.013793768,0.12500897334470412,0.2,12000
52,0.99796355,0.4614021354338058,0.2,4000
53,0.00055811467,0.12401061425173253,0.2,3200
54,0.00019958788,0.3615533090785272,0.2,4500
55,0.014363246,0.06876629046947921,0.2,2000
56,0.58817065,0.4279966843963887,0.2,6000
57,0.9947752,0.520411211324103,0.2,9925
58,0.027280742,0.0015541126957653293,0.2,21000
59,0.025336992,0.27429990450811537,0.2,6000
60,0.07043023,0.018315641420933695,0.2,8000
61,0.06704625,0.3689450821902026,0.2,4800
62,0.9996196,0.5819116849283553,0.2,16750
63,0.06301046,0.06862965630763555,0.2,6000
64,0.037405983,0.16315397129437623,0.2,10000
65,0.021570643,0.10148351288636623,0.2,6000
66,0.04068182,0.40329282589624776,0.2,7225
67,0.049942266,0.21470903963052998,0.2,20000
68,0.94007,0.31280063286160814,0.2,14000
69,0.0026311157,0.3479118987181875,0.2,5000
70,0.077366926,0.19760871266791727,0.2,5000
71,9.726035e-05,0.3262313477914055,0.2,25000
72,0.0012438697,0.49221306903694145,0.2,18650
73,0.04808485,0.002796397747373701,0.2,12900
74,0.07526397,0.3262315087356315,0.2,25000
75,0.03771769,0.291295084529379,0.2,3000
76,0.030751599,0.04094331864830354,0.2,12000
77,0.09100876,0.3846883095474965,0.2,2400
78,0.0002506275,0.31259641216884826,0.2,21000
79,0.090372756,0.2271715397070857,0.2,15000
80,8.311418e-05,0.12751585871766924,0.2,3500
81,0.00065756525,0.16424229218980121,0.2,15000
82,0.040739253,0.2218763444331999,0.2,6000
83,0.10583594,0.08402230098763533,0.2,4800
84,0.9824539,0.29274790934644934,0.2,13650
85,0.24611107,0.3905271203037407,0.2,20000
86,0.008569874,0.018518684216794045,0.2,10000
87,0.1341052,0.2833863986854804,0.2,1500
88,0.045754388,0.3112165680734321,0.2,4800
89,0.029831415,0.20323009763615157,0.2,22000
90,0.0039524194,0.31371154328768486,0.2,4000
91,0.09465208,0.22782464887419818,0.2,6700
92,0.004835659,0.13446814076469996,0.2,9000
93,0.034166105,0.08323758066009958,0.2,9250
94,0.24891025,0.14658080748953614,0.2,5000
95,0.0043467795,0.15391214095476005,0.2,12000
96,0.06593286,0.3611745316945062,0.2,6000
97,0.99989545,0.39988876417996616,0.2,3000
98,0.005362314,0.16962674114199322,0.2,4000
99,0.9863245,0.19956147069131192,0.2,3600
100,0.9973152,0.5597318588004675,0.2,18550
101,0.02207488,0.29527077571509175,0.2,10000
102,0.01817793,0.006291280494884394,0.2,5375
103,0.37997067,0.3663738334586231,0.2,10000
104,2.691822e-05,0.3845512289440413,0.2,7000
105,0.98439676,0.08257090673575335,0.2,5000
106,0.00021757637,0.07020838589893057,0.2,6000
107,0.02924927,0.10029231086525069,0.2,18000
108,0.00010988138,0.31750663884153146,0.2,10950
109,0.020559609,0.4068503857234498,0.2,6000
110,0.032893855,0.40685049744533913,0.2,6000
111,0.0011130298,0.33954686859691247,0.2,7000
112,0.0013431406,0.22074463471064457,0.2,12000
113,0.00015558752,0.40139096100673144,0.2,12000
114,0.99489504,0.007418256706328631,0.2,10000
115,0.00096111814,0.15667766426437035,0.2,5000
116,0.10231715,0.11688899901852451,0.2,7000
117,0.9711901,0.19832100909457995,0.2,9975
118,0.04250822,0.1398879183954974,0.2,6400
119,0.08656514,0.11765104556204943,0.2,1500
120,0.00051280897,0.3545034354283764,0.2,8000
121,0.15268567,0.06367163415970288,0.2,16000
122,0.001394267,0.3676463091930175,0.2,9900
123,0.00073025347,0.13674698512974762,0.2,3500
124,0.0020932367,0.05753817912988227,0.2,4000
125,0.014045205,0.04353984213127906,0.2,7300
126,0.052727893,2.6057282021902196e-15,0.2,25000
127,0.9709706,0.21028395277038378,0.2,6000
128,0.0015609941,0.04094331451637688,0.2,12000
129,0.001237153,0.14933335030578074,0.2,20000
130,0.13048606,0.16122605329504233,0.2,3000
131,0.012867581,0.070208426840849,0.2,6000
132,0.00038928757,0.27206970945155673,0.2,4000
133,0.6087871,0.26910223639596964,0.2,30000
134,0.9558983,0.49179204916821295,0.2,30000
135,0.051724836,0.009972269252811054,0.2,2200
136,0.07076852,0.03676535223564475,0.2,6400
137,0.0011766024,0.40508779223280256,0.2,9000
138,0.9970983,0.517770967778377,0.2,19000
139,0.00033407885,0.043421271791284625,0.2,5000
140,0.017903388,0.48294980166505014,0.2,28000
141,0.0067159273,0.1616262160166683,0.2,8000
142,0.0842276,0.2886439363352812,0.2,2500
143,0.26882476,0.2461121399515103,0.2,5000
144,0.017616408,0.1620800047169362,0.2,2000
145,0.057947353,0.28141341419360494,0.2,5000
146,0.97802633,0.4279256594324921,0.2,20000
147,0.00041045414,0.27879443565908973,0.2,10000
148,0.007270896,0.23812178858890756,0.2,8000
149,0.9257053,0.06601409487681334,0.2,1500
150,0.99512273,0.6046307068629776,0.2,19000
151,0.01548294,0.26627372079642275,0.2,11300
152,0.97695357,0.28466923325504606,0.2,8000
153,0.9952225,0.5336465529494205,0.2,24000
154,0.25819677,0.26305873182316114,0.2,8000
155,0.0021371208,0.023279095972336166,0.2,5000
156,0.0037923565,0.10355048002105481,0.2,10000
157,0.0011052154,0.30749477973058614,0.2,6000
158,0.0009904098,0.4319492437480161,0.2,5000
159,0.23738791,0.2710492193047581,0.2,12000
160,0.037535526,0.5300322719606211,0.2,25000
161,0.2252705,0.21201368151916725,0.2,10000
162,0.5618119,0.022555575101795122,0.2,10000
163,0.06702047,0.4729813342993146,0.2,13000
164,0.00031045743,0.18373364709014628,0.2,8700
165,0.00047144282,0.051487439894643,0.2,1000
