id,country_id,season,stage,date,hometeam_id,awayteam_id,home_goal,away_goal
8727,7809,2011/2012,1,2011-08-05,9789,9790,3,1.0
8728,7809,2011/2012,1,2011-08-06,8697,8350,2,0.0
8729,7809,2011/2012,1,2011-08-06,9904,8226,2,1.0
8730,7809,2011/2012,1,2011-08-07,9905,8178,2,0.0
8731,7809,2011/2012,1,2011-08-06,10269,10189,3,0.0
8732,7809,2011/2012,1,2011-08-06,8722,8721,0,3.0
8733,7809,2011/2012,1,2011-08-06,8406,8358,2,2.0
8734,7809,2011/2012,1,2011-08-06,8177,8165,0,1.0
8735,7809,2011/2012,1,2011-08-07,9823,9788,0,1.0
8736,7809,2011/2012,10,2011-10-22,9789,8722,5,0.0
8737,7809,2011/2012,10,2011-10-23,8178,10189,0,1.0
8738,7809,2011/2012,10,2011-10-22,9790,8721,1,1.0
8739,7809,2011/2012,10,2011-10-23,9904,9823,2,1.0
8740,7809,2011/2012,10,2011-10-22,8165,10269,2,2.0
8741,7809,2011/2012,10,2011-10-22,8350,8358,1,0.0
8742,7809,2011/2012,10,2011-10-22,8226,9788,1,0.0
8743,7809,2011/2012,10,2011-10-21,8406,8697,1,1.0
8744,7809,2011/2012,10,2011-10-22,8177,9905,0,0.0
8745,7809,2011/2012,11,2011-10-29,9823,8165,4,0.0
8746,7809,2011/2012,11,2011-10-29,10189,8226,3,1.0
8747,7809,2011/2012,11,2011-10-30,9790,8350,1,1.0
8748,7809,2011/2012,11,2011-10-29,9905,8697,1,3.0
8749,7809,2011/2012,11,2011-10-28,8358,8178,0,1.0
8750,7809,2011/2012,11,2011-10-29,10269,9789,1,1.0
8751,7809,2011/2012,11,2011-10-30,8722,8406,3,0.0
8752,7809,2011/2012,11,2011-10-29,8721,8177,2,3.0
8753,7809,2011/2012,11,2011-10-29,9788,9904,2,1.0
8754,7809,2011/2012,12,2011-11-05,9789,8721,5,1.0
8755,7809,2011/2012,12,2011-11-05,8697,8722,3,2.0
8756,7809,2011/2012,12,2011-11-05,8178,9790,2,2.0
8757,7809,2011/2012,12,2011-11-06,9904,10189,2,2.0
8758,7809,2011/2012,12,2011-11-04,9905,10269,3,1.0
8759,7809,2011/2012,12,2011-11-05,8165,8358,1,2.0
8760,7809,2011/2012,12,2011-11-05,8226,8350,1,1.0
8761,7809,2011/2012,12,2011-11-06,8406,9823,1,2.0
8762,7809,2011/2012,12,2011-11-05,8177,9788,1,2.0
8763,7809,2011/2012,13,2011-11-19,9823,9789,0,1.0
8764,7809,2011/2012,13,2011-11-19,10189,8165,4,0.0
8765,7809,2011/2012,13,2011-11-20,9790,8226,2,0.0
8766,7809,2011/2012,13,2011-11-19,8358,8177,2,2.0
8767,7809,2011/2012,13,2011-11-18,8350,8178,0,2.0
8768,7809,2011/2012,13,2011-11-20,10269,8406,2,1.0
8769,7809,2011/2012,13,2011-12-13,8722,9905,1,1.0
8770,7809,2011/2012,13,2011-11-19,8721,9904,4,1.0
